Opponent Decklist,Result
"Ajani, Nacatl Pariah | Mox Pearl | Mutavault",-1.0
Ancient Tomb | Leyline of the Guildpact | Scion of Draco,-1.0
Bottomless Vault | Nether Spirit | Smallpox,1.0
Chancellor of the Forge | Fury | Mercadian Bazaar,0.0
City of Traitors | Disruptor Flute | Idol of False Gods,0.0
City of Traitors | Mana Vault | Thought-Knot Seer,0.0
City of Traitors | Simian Spirit Guide | Stingerback Terror,-1.0
City of Traitors | The Filigree Sylex | Tomb Trawler,-1.0
Curse of Silence | Ocelot Pride | Plains,-1.0
Dark Ritual | Rotting Regisaur | Swamp,-1.0
"Emrakul, the Aeons Torn | Sand Silos | Show and Tell",0.0
Ensnaring Bridge | Mirrodin's Core | The Millennium Calendar,1.0
"Eye of Ugin | Thought-Knot Seer | Urborg, Tomb of Yawgmoth",1.0
"Forbidden Orchard | Urborg | Vadmir, New Blood",0.0
Forest | Hexdrinker | Pick Your Poison,-1.0
Forest | Rushwood Grove | Spawnwrithe,-1.0
Generous Plunderer | Sandstone Needle | Stasis,-1.0
Mishra's Factory | Mox Sapphire | Tide Shaper,-1.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",-1.0
Remote Farm | Skrelv's Hive | Soul Partition,-1.0
