Opponent Decklist,Result
Alpine Moon | Sleep-Cursed Faerie | Volcanic Island,0.0
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,0.0
Ancient Tomb | Phyrexian Revoker | Steel Overseer,-1.0
Cenn's Tactician | Path to Exile | Plains,-1.0
Cenn's Tactician | Sea's Claim | Undiscovered Paradise,0.0
Cleansing Wildfire | Mishra's Factory | Mox Ruby,0.5
Crystal Vein | Magus of the Moon | Simian Spirit Guide,0.0
Etched Slith | Mox Jet | Rishadan Port,0.0
Hexdrinker | Path to Exile | Undiscovered Paradise,-1.0
"Island Sanctuary | Phelia, Exuberant Shepherd | Remote Farm",0.5
Island | Sea's Claim | Sleep-Cursed Faerie,0.0
Mox Emerald | Outland Liberator | Rishadan Port,0.0
Ocelot Pride | Path to Exile | Plains,-1.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",0.0
