Opponent Decklist,Result
Academy Researchers | Lotus Bloom | Octopus Umbra,0.0
"Ajani, Nacatl Pariah | Boros Garrison | Hellion Crucible",-1.0
"Ajani, Nacatl Pariah | Curse of Silence | Remote Farm",-1.0
"Ajani, Nacatl Pariah | Karakas | Mox Pearl",0.0
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,0.0
Ancient Tomb | Eldrazi Linebreaker | Simian Spirit Guide,0.0
Ancient Tomb | Isochron Scepter | Lightning Helix,-1.0
"Boseiju, Who Endures | Hexdrinker | Simic Growth Chamber",0.0
Bottomless Vault | Nether Spirit | Smallpox,0.0
Cavern of Souls | Flare of Malice | Nezumi Linkbreaker,1.0
Chancellor of the Forge | Dwarven Hold | Pyrokinesis,0.0
Dark Ritual | Phyrexian Crusader | Swamp,0.0
Dauthi Voidwalker | Peat Bog | Sheoldred's Edict,0.0
Forest | Hexdrinker | Hexdrinker,-1.0
Karakas | Ocelot Pride | Path to Exile,0.0
Mesmeric Fiend | Mox Jet | Rishadan Port,1.0
"Mox Pearl | Phelia, Exuberant Shepherd | Rishadan Port",0.0
O-Naginata | Reckless Waif | Sandstone Needle,0.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",-1.0
Reinforced Ronin | Storm World | Undiscovered Paradise,0.0
Ancient Tomb | Chalice of the Void | Phyrexian Revoker,1.0
Ancient Tomb | Goblin Rabblemaster | Mox Ruby,0.0
Assassin's Trophy | Dryad Arbor | Volatile Fault,1.0
Bottomless Vault | Dino DNA | Gingerbrute,1.0
Cavern of Souls | Glittering Lynx | Scythe Tiger,0.0
Cenn's Tactician | Path to Exile | Plains,0.0
Chancellor of the Forge | Foil | Island,1.0
Chancellor of the Forge | Fountain of Cho | Gideon of the Trials,0.0
"Channel | Hickory Woodlot | Ulamog, the Infinite Gyre",-1.0
Claim | Judge's Familiar | Scrubland,1.0
"Contested Game Ball | Icatian Store | Tomorrow, Azami's Familiar",1.0
Copperline Gorge | Crack the Earth | Crashing Footfalls,-1.0
"Dwarven Hold | Fury | Squee, the Immortal",-1.0
Foil | Island | The Tabernacle at Pendrell Vale,0.0
Force of Despair | Grief | Memnite,1.0
Forest | Haywire Mite | Swarm Shambler,0.0
Guul Draz Assassin | Karakas | Swamp,0.0
Island Sanctuary | Mox Pearl | Volatile Fault,0.0
Karakas | Mana Tithe | Path to Exile,0.0
Karakas | Mox Pearl | Skrelv's Hive,-1.0
