Opponent Decklist,Result
Alpine Moon | Cenn's Tactician | Undiscovered Paradise,1.0
Argent Dais | Inkmoth Nexus | Mox Pearl,0.5
Assassin's Trophy | Golgari Rot Farm | Treetop Village,0.0
Basking Rootwalla | Blazing Rootwalla | Taiga,1.0
Bayou | Hexdrinker | Thoughtseize,0.5
City of Traitors | Disruptor Flute | Idol of False Gods,-1.0
City of Traitors | Drillworks Mole | Sphere of Resistance,-0.5
City of Traitors | Elixir of Immortality | The Filigree Sylex,-1.0
City of Traitors | Leyline of the Guildpact | Scion of Draco,-1.0
Curse of Silence | Inkmoth Nexus | Mox Pearl,0.5
Dryad Arbor | Force of Despair | Grief,0.0
"Emrakul, the Aeons Torn | Sand Silos | Show and Tell",-1.0
Field of Ruin | Sunken Citadel | Treetop Village,1.0
Forest | Hexdrinker | Pick Your Poison,1.0
Icatian Store | Island Sanctuary | Luminarch Ascension,-1.0
Island | Sleep-Cursed Faerie | Strix Serenade,0.5
"Karakas | Mox Pearl | Phelia, Exuberant Shepherd",0.5
Mox Emerald | Outland Liberator | Rishadan Port,1.0
"Mox Pearl | Phelia, Exuberant Shepherd | Rishadan Port",1.0
Ocelot Pride | Ocelot Pride | Plains,0.5
"Outland Liberator | The Tabernacle at Pendrell Vale | Yavimaya, Cradle of Growth",0.5
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",0.0
Remote Farm | Westfold Rider | White Orchid Phantom,1.0
Abu Ja'far | Cenn's Tactician | Plains,0.0
"Ajani, Nacatl Pariah | Boseiju, Who Endures | Selesnya Sanctuary",1.0
Alpine Moon | Mountain | Stromkirk Noble,1.0
Alpine Moon | Sleep-Cursed Faerie | Volcanic Island,0.5
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,-1.0
"Ancient Tomb | Auntie Blyte, Bad Influence | Mox Ruby",1.0
Ancient Tomb | Hidetsugu Consumes All | Shadowblood Ridge,0.0
Ancient Tomb | Mana Vault | Thought-Knot Seer,1.0
Ancient Tomb | Phyrexian Revoker | Steel Overseer,1.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,-1.0
Arc Blade | Lotus Bloom | Maze of Ith,-1.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Blinkmoth Nexus | Inkmoth Nexus | Pendelhaven,1.0
"Boseiju, Who Endures | Sunken Citadel | Treetop Village",1.0
Cenn's Tactician | Curse of Silence | Plains,0.0
Cenn's Tactician | Divest | Undiscovered Paradise,0.5
Cenn's Tactician | Path to Exile | Plains,0.0
Cenn's Tactician | Path to Exile | Snow-Covered Plains,0.0
Cenn's Tactician | Sea's Claim | Undiscovered Paradise,0.0
Chancellor of the Forge | Foil | Island,0.0
Chancellor of the Forge | Force of Despair | Unmask,0.0
Chancellor of the Forge | Mental Misstep | Pyrokinesis,-1.0
Cleansing Wildfire | Mishra's Factory | Mox Ruby,0.0
Crystal Vein | Magus of the Moon | Simian Spirit Guide,1.0
Crystalline Giant | Darksteel Citadel | Mana Vault,1.0
Daze | Island | Siren Stormtamer,0.5
Dryad Arbor | Dryad Arbor | Pick Your Poison,1.0
Escape Detection | Hookblade Veteran | Island,1.0
Etched Slith | Mox Jet | Rishadan Port,1.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,-1.0
Grove of the Burnwillows | Mutavault | Punishing Fire,0.0
Hexdrinker | Path to Exile | Undiscovered Paradise,0.0
Hollow Trees | Leyline of Sanctity | Lumbering Megasloth,1.0
Hollow Trees | Nullhide Ferox | Pick Your Poison,1.0
Inkmoth Nexus | Ruins of Oran-Rief | The Tabernacle at Pendrell Vale,0.0
"Island Sanctuary | Phelia, Exuberant Shepherd | Remote Farm",0.0
Island | Maze of Ith | Sleep-Cursed Faerie,-1.0
Island | Sea's Claim | Sleep-Cursed Faerie,0.5
Karakas | Meddling Mage | Mox Sapphire,0.0
Karakas | Rise and Shine | Tanglepool Bridge,1.0
Lotus Petal | Plains | Skrelv's Hive,1.0
Mox Sapphire | Rishadan Port | Volatile Stormdrake,1.0
Ocelot Pride | Path to Exile | Plains,0.0
Raging Ravine | Sunken Citadel | Sunken Citadel,1.0
Sand Silos | Saprazzan Cove | Trench Behemoth,1.0
Sleep-Cursed Faerie | Thoughtseize | Undiscovered Paradise,0.0
