Opponent Decklist,Result
"Ajani, Nacatl Pariah | Ajani, Nacatl Pariah | Remote Farm",-1.0
Ancient Tomb | Drillworks Mole | Sphere of Resistance,0.0
Ancient Tomb | Steel Overseer | Steel Overseer,-1.0
Azure Beastbinder | Azure Beastbinder | Saprazzan Skerry,-1.0
Bandit's Talent | Mishra's Factory | Mox Jet,0.0
"Battlefield Raptor | Scrubland | Tinybones, the Pickpocket",1.0
"Carrot Cake | Phelia, Exuberant Shepherd | Remote Farm",0.5
Cathedral of War | Chancellor of the Forge | Mental Misstep,0.0
Chancellor of the Forge | Maze of Ith | Pyrokinesis,0.0
Crystal Vein | Elixir of Immortality | Gingerbrute,1.0
Drop of Honey | Forbidden Orchard | Sleep-Cursed Faerie,1.0
Dryad Arbor | Maze of Ith | Mistbreath Elder,0.0
"Emry, Lurker of the Loch | Pyrite Spellbomb | Silverbluff Bridge",1.0
Flash | Saprazzan Skerry | Woodfall Primus,1.0
Forest | Mistbreath Elder | Sunshower Druid,0.5
"Garruk, Cursed Huntsman | Lotus Bloom | Lotus Bloom",1.0
Goblin Guide | Lightning Bolt | Mountain,0.0
Healer's Hawk | Healer's Hawk | Plains,-1.0
Hollow Trees | Nullhide Ferox | Skylasher,-1.0
Kulrath Knight | Reanimate | Subterranean Hangar,1.0
Lotus Bloom | Magus of the Moon | Mental Misstep,1.0
Agent of Treachery | Force of Negation | Sand Silos,1.0
Alpine Moon | Hexdrinker | Taiga,0.0
Ancient Tomb | Dark Depths | Thespian's Stage,-1.0
Blightsteel Colossus | Lotus Bloom | Show and Tell,1.0
Boros Garrison | Hellion Crucible | Soul Partition,-1.0
Bottomless Vault | Plague Engineer | Plague Engineer,-1.0
City of Traitors | Dungeon Map | Mox Jet,1.0
City of Traitors | Field of Ruin | Phyrexian Revoker,0.5
City of Traitors | Hex Parasite | Phyrexian Revoker,0.5
City of Traitors | Isochron Scepter | Verdant Command,0.0
"Elspeth, Sun's Champion | Lotus Bloom | Lotus Bloom",1.0
Forest | Glistener Elf | Rancor,0.5
Forest | Hexdrinker | Pick Your Poison,-0.5
Glint Hawk | Glint Hawk | Mox Pearl,0.0
Harvester of Misery | Peat Bog | Reanimate,0.0
Hoverstone Pilgrim | Sheoldred's Edict | Subterranean Hangar,0.5
Inkmoth Nexus | Mox Jet | Traumatic Revelation,0.0
Memnite | Mental Misstep | Subtlety,1.0
Mox Pearl | Prairie Dog | Rishadan Port,0.0
Nested Shambler | Tendrils of Despair | Urborg,1.0
Prairie Dog | Remote Farm | Soul Partition,0.0
