Opponent Decklist,Result
Academy Researchers | Eldrazi Conscription | Lotus Bloom,1.0
Academy Ruins | Calciform Pools | The Filigree Sylex,-1.0
Academy Ruins | Dreadship Reef | The Filigree Sylex,-1.0
"Ajani, Nacatl Pariah | Remote Farm | Soul Partition",-1.0
Alpine Moon | Hammerheim | Heartfire Hero,1.0
Ancient Tomb | Elixir of Immortality | The Filigree Sylex,-1.0
Ancient Tomb | Isochron Scepter | Verdant Command,-1.0
Ancient Tomb | Mox Jet | Unstoppable Slasher,1.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Bloodhall Ooze | Leyline of the Guildpact | The Tabernacle at Pendrell Vale,0.0
Cavern of Souls | Mistbreath Elder | Sunshower Druid,1.0
Chancellor of the Forge | Contagion | Unmask,0.0
Chancellor of the Forge | Foil | Island,0.0
Chancellor of the Forge | Pyrokinesis | Wasteland,0.0
Chancellor of the Forge | The Tabernacle at Pendrell Vale | Wasteland,1.0
Crystal Vein | Lodestone Golem | Mana Vault,0.0
Crystal Vein | Mox Emerald | Words of Wilding,-1.0
"Dargo, the Shipwrecker | Great Furnace | Mana Crypt",1.0
Dark Ritual | Iridescent Vinelasher | Undiscovered Paradise,1.0
Dark Ritual | Swamp | Unstoppable Slasher,1.0
Daze | Hexdrinker | Tropical Island,-0.5
Daze | Island | Sleep-Cursed Faerie,0.0
Dismember | Memnite | Wasteland,0.0
Divine Gambit | Prairie Dog | Remote Farm,-0.5
Dreadhorde Invasion | Peat Bog | Smallpox,-1.0
Dwarven Hold | Hammer of Bogardan | Wasteland,-1.0
Force of Despair | Memnite | Unmask,0.0
Forest | Hexdrinker | Wasteland,1.0
Freed from the Real | Hickory Woodlot | Twitching Doll,1.0
Fungal Reaches | Gnottvold Slumbermound | Red Sun's Zenith,-1.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,-1.0
Hammerheim | Heartfire Hero | Kumano Faces Kakkazan,1.0
Hexdrinker | Mox Emerald | Wasteland,1.0
Hope of Ghirapur | Wasteland | Welding Jar,1.0
Island | Sleep-Cursed Faerie | The Tabernacle at Pendrell Vale,-1.0
Island | Sleep-Cursed Faerie | Unable to Scream,-1.0
Isochron Scepter | Lightning Helix | Mana Crypt,-1.0
Isochron Scepter | Mana Crypt | Verdant Command,-1.0
Karakas | Leyline of Singularity | Sacred Cat,0.0
Legacy's Allure | Lighthouse Chronologist | Saprazzan Cove,0.0
Mana Tithe | Plains | Speaker of the Heavens,0.5
Memnite | Snow-Covered Swamp | Specter's Shriek,0.5
Mishra's Factory | Mox Jet | Nezumi Shortfang,1.0
Mox Jet | Nezumi Shortfang | Wasteland,1.0
Mox Pearl | Mutavault | Skrelv's Hive,-1.0
Mox Pearl | Skrelv's Hive | Wasteland,-1.0
"Overencumbered | Phelia, Exuberant Shepherd | Remote Farm",0.0
Plains | Student of Warfare | Unwanted Remake,0.0
Prairie Dog | Remote Farm | Soul Partition,-0.5
Remote Farm | Skrelv's Hive | Soul Partition,-1.0
"Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector | Solitude",0.0
Sleep-Cursed Faerie | Undiscovered Paradise | Unwanted Remake,-1.0
