Opponent Decklist,Result
Alpine Moon | Cenn's Tactician | Undiscovered Paradise,1.0
Argent Dais | Inkmoth Nexus | Mox Pearl,-1.0
Assassin's Trophy | Golgari Rot Farm | Treetop Village,-1.0
Basking Rootwalla | Blazing Rootwalla | Taiga,1.0
Bayou | Hexdrinker | Thoughtseize,-1.0
City of Traitors | Disruptor Flute | Idol of False Gods,-1.0
City of Traitors | Drillworks Mole | Sphere of Resistance,-1.0
City of Traitors | Elixir of Immortality | The Filigree Sylex,0.0
City of Traitors | Leyline of the Guildpact | Scion of Draco,0.0
Curse of Silence | Inkmoth Nexus | Mox Pearl,-1.0
Dryad Arbor | Force of Despair | Grief,0.0
"Emrakul, the Aeons Torn | Sand Silos | Show and Tell",-1.0
Field of Ruin | Sunken Citadel | Treetop Village,-1.0
Forest | Hexdrinker | Pick Your Poison,1.0
Icatian Store | Island Sanctuary | Luminarch Ascension,0.0
Island | Sleep-Cursed Faerie | Strix Serenade,0.0
"Karakas | Mox Pearl | Phelia, Exuberant Shepherd",-0.5
Mox Emerald | Outland Liberator | Rishadan Port,0.0
"Mox Pearl | Phelia, Exuberant Shepherd | Rishadan Port",-0.5
Ocelot Pride | Ocelot Pride | Plains,1.0
Ocelot Pride | Path to Exile | Plains,-0.5
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",0.0
Remote Farm | Westfold Rider | White Orchid Phantom,0.0
Ancient Tomb | Hope of Ghirapur | Shadowspear,1.0
"Anim Pakal, Thousandth Moon | Great Hall of the Citadel | Sol Ring",-0.5
Animating Faerie | City of Traitors | Mox Diamond,1.0
"Ayula, Queen Among Bears | Hickory Woodlot | Wilson, Refined Grizzly",1.0
Capricious Efreet | Dwarven Hold | Fireball,0.0
Cavern of Souls | Fountain of Renewal | Sleep-Cursed Faerie,0.0
Chancellor of the Forge | Karakas | Mana Tithe,0.0
City of Traitors | Mana Vault | Thought-Knot Seer,-1.0
"Dark Depths | Urborg, Tomb of Yawgmoth | Vampire Hexmage",-1.0
Eldrazi Displacer | Eldrazi Temple | Plains,0.0
Forest | Helix Pinnacle | Pick Your Poison,1.0
Hatchery Sliver | Hollow Trees | Pick Your Poison,1.0
Inkmoth Nexus | Karakas | Luminarch Aspirant,-1.0
Inkmoth Nexus | Sol Ring | Steel Overseer,1.0
"Mercadian Bazaar | Squee, the Immortal | Tibalt's Trickery",1.0
Peat Bog | Reassembling Skeleton | Sheoldred's Edict,0.0
Portable Hole | Remote Farm | Skrelv's Hive,0.0
"The Tabernacle at Pendrell Vale | Treetop Village | Yavimaya, Cradle of Growth",0.0
