Opponent Decklist,Result
"Ajani, Nacatl Pariah | Karakas | Mox Pearl",-1.0
Alpine Moon | Cenn's Tactician | Undiscovered Paradise,0.5
Alpine Moon | Mountain | Stromkirk Noble,1.0
Animate Dead | Harvester of Misery | Peat Bog,0.0
Battlefly Swarm | Encroach | Swamp,0.0
Bayou | Hexdrinker | Thoughtseize,0.0
"Bristly Bill, Spine Sower | Quirion Ranger | Savannah",1.0
Cenn's Tactician | Path to Exile | Plains,0.0
Chancellor of the Forge | Foil | Island,0.0
City of Traitors | Disruptor Flute | Idol of False Gods,1.0
City of Traitors | Drillworks Mole | Sphere of Resistance,1.0
City of Traitors | Leyline of the Guildpact | Scion of Draco,-1.0
City of Traitors | Magus of the Moon | Mox Ruby,-1.0
City of Traitors | Mana Vault | Thought-Knot Seer,-1.0
City of Traitors | Mox Jet | Plague Engineer,1.0
City of Traitors | Phyrexian Revoker | Steel Overseer,1.0
Crawling Chorus | Snow-Covered Plains | Swords to Plowshares,0.0
Daze | Ocelot Pride | Tundra,-0.5
Dreadhorde Invasion | Peat Bog | Smallpox,0.0
Dryad Arbor | Force of Despair | Grief,-1.0
Dryad Arbor | Hexdrinker | Lush Growth,1.0
Dryad Arbor | Springheart Nantuko | Undiscovered Paradise,1.0
Eater of Days | Mana Vault | Swamp,1.0
Encroach | Leyline of Anticipation | Lotus Petal,0.0
Etched Slith | Peat Bog | Sheoldred's Edict,0.0
Island | Sea's Claim | Sleep-Cursed Faerie,-1.0
Mox Pearl | Rishadan Port | Skrelv's Hive,1.0
Mox Ruby | Mutavault | Roiling Vortex,1.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",-1.0
Prairie Dog | Remote Farm | White Orchid Phantom,-1.0
Remote Farm | Skrelv's Hive | White Orchid Phantom,-1.0
