Opponent Decklist,Result
Acquisitions Expert | Memnite | Phyrexian Tower,1.0
Agent of Treachery | Flash | Saprazzan Skerry,0.5
"Ajani, Nacatl Pariah | Ajani, Nacatl Pariah | Remote Farm",1.0
"Ajani, Nacatl Pariah | Hostile Hostel | Karakas",1.0
"Ajani, Nacatl Pariah | Karakas | Mox Pearl",1.0
"Ajani, Nacatl Pariah | Mox Pearl | Mutavault",1.0
"Ajani, Nacatl Pariah | Remote Farm | White Orchid Phantom",0.0
Alpine Moon | Cenn's Tactician | Undiscovered Paradise,-1.0
Ancient Spring | Chancellor of the Forge | Gerrard's Verdict,0.0
Ancient Tomb | Leyline of the Guildpact | Scion of Draco,-1.0
Animate Dead | Harvester of Misery | Peat Bog,1.0
Argent Dais | Inkmoth Nexus | Mox Pearl,1.0
Assassin's Trophy | Golgari Rot Farm | Treetop Village,1.0
Badlands | Encroach | Stromkirk Noble,0.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Basking Rootwalla | Blazing Rootwalla | Taiga,1.0
Battlefly Swarm | Encroach | Swamp,0.0
Bayou | Hexdrinker | Thoughtseize,0.5
Bayou | Scythe Tiger | Thoughtseize,0.0
Bonesplitter | Ocelot Pride | Plains,1.0
Bottomless Vault | Nether Spirit | Smallpox,1.0
Bottomless Vault | Reassembling Skeleton | Sheoldred's Edict,1.0
Brain Maggot | Mox Jet | Rishadan Port,0.0
"Bristly Bill, Spine Sower | Quirion Ranger | Savannah",1.0
Butcher Ghoul | Flare of Malice | Peat Bog,1.0
Cavern of Souls | Flare of Malice | Nezumi Linkbreaker,1.0
Cavern of Souls | Maze of Ith | Sleep-Cursed Faerie,1.0
Cenn's Tactician | Gleeful Demolition | Rustvale Bridge,1.0
Cenn's Tactician | Karakas | Leyline of Singularity,1.0
Cenn's Tactician | Path to Exile | Plains,-1.0
Chancellor of the Forge | Dwarven Hold | Pyrokinesis,1.0
Chancellor of the Forge | Foil | Island,1.0
Chancellor of the Forge | Fury | Mercadian Bazaar,1.0
Charmbreaker Devils | Lightning Bolt | Mercadian Bazaar,1.0
City of Traitors | Disruptor Flute | Drillworks Mole,1.0
City of Traitors | Disruptor Flute | Hex Parasite,0.0
City of Traitors | Disruptor Flute | Idol of False Gods,1.0
City of Traitors | Disruptor Flute | Memnite,1.0
City of Traitors | Disruptor Flute | Phyrexian Revoker,0.5
City of Traitors | Disruptor Flute | Steel Overseer,0.0
City of Traitors | Drillworks Mole | Sphere of Resistance,-1.0
