Opponent Decklist,Result
Academy Ruins | Dreadship Reef | The Filigree Sylex,-1.0
"Ajani, Nacatl Pariah | Mox Pearl | Wasteland",1.0
Alpine Moon | Hammerheim | Heartfire Hero,1.0
Alpine Moon | Hexdrinker | Undiscovered Paradise,1.0
Ancient Tomb | Elixir of Immortality | The Filigree Sylex,-1.0
Ancient Tomb | Isochron Scepter | Verdant Command,-1.0
Angel of Sanctions | Fountain of Cho | Solitude,-1.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Boros Garrison | Ensnaring Bridge | Keldon Megaliths,-1.0
Cavern of Souls | Hexdrinker | Mana Crypt,1.0
Chancellor of the Forge | Contagion | Grief,0.0
Chancellor of the Forge | Foil | Island,0.0
Chancellor of the Forge | Force of Despair | Unmask,0.0
Chancellor of the Forge | Pyrokinesis | Wasteland,0.0
Chancellor of the Forge | The Tabernacle at Pendrell Vale | Wasteland,1.0
Crawling Chorus | Curse of Silence | Plains,0.0
Crystal Vein | Lodestone Golem | Mana Vault,0.0
Crystal Vein | Mox Jet | Unstoppable Slasher,1.0
Dark Ritual | Rotting Regisaur | Swamp,1.0
Dark Ritual | Swamp | Unstoppable Slasher,1.0
Daze | Island | Sleep-Cursed Faerie,0.0
Dismember | Dryad Arbor | Wasteland,0.0
Dismember | Forest | Utopia Mycon,0.0
Dusk Rose Reliquary | Thornglint Bridge | Young Wolf,-1.0
Forest | Hexdrinker | Nullhide Ferox,1.0
Forest | Hexdrinker | Wasteland,1.0
Fungal Reaches | Gnottvold Slumbermound | Red Sun's Zenith,-1.0
Haywire Mite | Thornglint Bridge | Unwanted Remake,0.0
Hexdrinker | Mox Emerald | Wasteland,1.0
Hexdrinker | Undiscovered Paradise | Unwanted Remake,0.0
Hope of Ghirapur | Wasteland | Welding Jar,1.0
Island | Sleep-Cursed Faerie | The Tabernacle at Pendrell Vale,-1.0
Isochron Scepter | Lightning Helix | Mana Crypt,-1.0
Isochron Scepter | Mana Crypt | Verdant Command,-1.0
Karakas | Leyline of Singularity | Sacred Cat,-1.0
Karakas | Leyline of Singularity | Student of Warfare,0.0
Karakas | Meddling Mage | Mox Sapphire,1.0
Legacy's Allure | Lighthouse Chronologist | Saprazzan Cove,0.0
Legacy's Allure | Saprazzan Skerry | Watcher of Hours,-1.0
Mana Tithe | Plains | Speaker of the Heavens,0.5
Memnite | Snow-Covered Swamp | Specter's Shriek,0.5
Mishra's Factory | Mox Jet | Nezumi Shortfang,1.0
"Mishra's Factory | Mox Pearl | Phelia, Exuberant Shepherd",1.0
Mox Pearl | Mutavault | Skrelv's Hive,-1.0
"Mox Pearl | Thalia, Guardian of Thraben | Wasteland",1.0
On Thin Ice | Snow-Covered Plains | Student of Warfare,0.0
"Overencumbered | Phelia, Exuberant Shepherd | Remote Farm",0.0
Razortide Bridge | Sleep-Cursed Faerie | Unwanted Remake,-1.0
Remote Farm | Skrelv's Hive | Soul Partition,-1.0
"Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector | Solitude",0.0
Sleep-Cursed Faerie | Undiscovered Paradise | Unwanted Remake,-1.0
Ajani Vengeant | Ancient Tomb | Tinder Farm,-1.0
Ancient Tomb | Isochron Scepter | Lightning Helix,-1.0
Ancient Tomb | Mana Vault | Thought-Knot Seer,-0.5
Ancient Tomb | Mox Ruby | Stingerback Terror,1.0
Assassin's Trophy | Golgari Rot Farm | Treetop Village,-0.5
Azure Beastbinder | Saprazzan Skerry | Tide Shaper,-1.0
Blast Zone | Keldon Megaliths | Sunken Citadel,-1.0
Calciform Pools | March of Otherworldly Light | Mirrex,-1.0
Demolition Field | Idol of False Gods | Sol Ring,1.0
Dreadhorde Invasion | Peat Bog | Smallpox,-1.0
Dryad Arbor | Force of Negation | Mental Misstep,0.0
"Dwarven Hold | Emrakul, the Aeons Torn | Stronghold Gambit",-1.0
Dwarven Hold | Ensnaring Bridge | Keldon Megaliths,-1.0
Eldrazi Temple | Idol of False Gods | Idol of False Gods,-1.0
Eldrazi Temple | Idol of False Gods | Mental Misstep,-1.0
Eldrazi Temple | Idol of False Gods | Pithing Needle,1.0
Field of Ruin | Idol of False Gods | Sol Ring,1.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,-1.0
Hickory Woodlot | Outland Liberator | Twitching Doll,1.0
Island | Sea's Claim | Sleep-Cursed Faerie,-1.0
Lair of the Hydra | Llanowar Mentor | Vigor,1.0
Mishra's Factory | Mox Pearl | Soul Partition,0.0
Prairie Dog | Remote Farm | Soul Partition,0.0
Sarcomancy | Swamp | Tel-Jilad Stylus,-1.0
