Opponent Decklist,Result
Academy Ruins | Calciform Pools | The Filigree Sylex,1.0
Ancient Tomb | Steel Overseer | Steel Overseer,-1.0
Angel of Sanctions | Icatian Store | Maze of Ith,-1.0
Azure Beastbinder | Mana Drain | Saprazzan Skerry,-1.0
Bandit's Talent | Mishra's Factory | Mox Jet,-1.0
Bandit's Talent | Mox Jet | Mutavault,-1.0
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",-1.0
"Bottomless Vault | Smallpox | Ulamog, the Infinite Gyre",1.0
Cavern of Souls | Mistbreath Elder | Sunshower Druid,-1.0
Chancellor of the Forge | Foil | Island,1.0
Darksteel Citadel | Ensoul Artifact | Mox Sapphire,0.0
Daze | Hexdrinker | Tropical Island,-1.0
Drop of Honey | Hollow Trees | Tender Wildguide,1.0
Flash | Saprazzan Skerry | Worldspine Wurm,-1.0
Force of Vigor | Hollow Trees | Nullhide Ferox,1.0
Karakas | Leyline of Singularity | Ocelot Pride,1.0
Sleep-Cursed Faerie | Thoughtseize | Undiscovered Paradise,0.0
