Opponent Decklist,Result
Abrade | Mogg War Marshal | Sandstone Needle,-1.0
Akroan Horse | Lotus Petal | Mishra's Workshop,0.5
Anointed Peacekeeper | City of Traitors | Mox Pearl,-1.0
Anvil of Bogardan | Blazing Rootwalla | City of Traitors,0.0
Atraxi Warden | Balance | Remote Farm,-1.0
Balance | Dunes of the Dead | Mox Pearl,-0.5
Balance | Plains | Simian Spirit Guide,0.0
Basking Rootwalla | Bazaar of Baghdad | Bridge from Below,0.0
Bayou | Cabal Therapy | Scythe Tiger,-1.0
Bayou | Hexdrinker | Shrieking Affliction,-1.0
"Bottomless Vault | Murderous Rider | Ulamog, the Infinite Gyre",-1.0
Bottomless Vault | Murderous Rider | Unearth,-1.0
Cathedral of War | Inkmoth Nexus | Maze of Ith,-1.0
"Cavern of Souls | Emmara, Soul of the Accord | Gnarlroot Trapper",-1.0
Cavern of Souls | Hexdrinker | The Tabernacle at Pendrell Vale,-1.0
Chalice of the Void | Crystalline Giant | Mishra's Workshop,1.0
Chancellor of the Forge | Chronomaton | Quicksand,0.0
Chancellor of the Forge | Dwarven Hold | Fury,-1.0
Chancellor of the Forge | Force of Negation | Snapback,1.0
Chancellor of the Forge | Fury | Sandstone Needle,-1.0
"Channel | Hickory Woodlot | Ulamog, the Infinite Gyre",-1.0
Chronomaton | Encroach | Swamp,0.0
City of Traitors | Isochron Scepter | Verdant Command,0.5
City of Traitors | Isochron Scepter | Witherbloom Command,1.0
City of Traitors | Levitating Statue | Tel-Jilad Stylus,1.0
City of Traitors | Lupine Prototype | Lupine Prototype,1.0
City of Traitors | Maze of Ith | Retrofitter Foundry,0.0
City of Traitors | Thespian's Stage | Urza's Saga,-1.0
Conjurer's Bauble | Lupine Prototype | Mishra's Workshop,0.0
Crystalline Giant | Mishra's Workshop | Trinisphere,-1.0
Dark Depths | Ebon Stronghold | Vampire Hexmage,-1.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",-1.0
"Davriel, Rogue Shadowmage | Mana Crypt | Swamp",1.0
Daze | Island | Sleep-Cursed Faerie,-1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",-1.0
Hickory Woodlot | Mayor of Avabruck | Naturalize,-1.0
Hickory Woodlot | Mayor of Avabruck | Outland Liberator,-1.0
Hickory Woodlot | Welcome to Sweettooth | Wheel of Sun and Moon,-1.0
Inkmoth Nexus | Karakas | Leyline of Singularity,-1.0
Lotus Bloom | Lotus Bloom | Primordial Hydra,-1.0
Lupine Prototype | Mishra's Workshop | Trinisphere,-1.0
Lupine Prototype | Mishra's Workshop | Wheel of Torture,0.0
Mana Crypt | Scroll of Griselbrand | Urza's Saga,1.0
Memnite | Memnite | Memnite,1.0
Mishra's Workshop | Phyrexian Dreadnought | Torpor Orb,1.0
Obstinate Baloth | Obstinate Baloth | Obstinate Baloth,1.0
Retrofitter Foundry | The Mycosynth Gardens | Tolarian Academy,1.0
