Opponent Decklist,Result
"Ajani, Nacatl Pariah | Mox Pearl | Mutavault",-1.0
"Ajani, Nacatl Pariah | Remote Farm | White Orchid Phantom",-0.5
Barren Glory | Lotus Bloom | Lotus Bloom,1.0
Bayou | Scythe Tiger | Thoughtseize,-1.0
Cavern of Souls | Maze of Ith | Sleep-Cursed Faerie,0.0
Cenn's Tactician | Gleeful Demolition | Rustvale Bridge,-1.0
City of Traitors | Disruptor Flute | Idol of False Gods,-1.0
City of Traitors | Disruptor Flute | Steel Overseer,-1.0
City of Traitors | Drillworks Mole | Sphere of Resistance,-1.0
City of Traitors | Leyline of the Guildpact | Scion of Draco,-1.0
Etched Slith | Mishra's Factory | Mox Jet,-1.0
Inkmoth Nexus | Mox Pearl | Skrelv's Hive,-1.0
Island | Sea's Claim | Sleep-Cursed Faerie,-1.0
Isochron Scepter | Lightning Helix | Mana Crypt,-1.0
Karakas | Meddling Mage | Mox Sapphire,0.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",-1.0
